Group,Area,area_microns
yPET / Acute Mad2,7763,48247.35861
yPET / Acute Mad2,92234,573238.036
yPET / Acute Mad2,74969,465935.3636
yPET / Acute Mad2,101310,629645.7427
yPET / Acute Mad2,658112,4090192.666
yPET / Acute Mad2,448346,2786488.502
yPET / Acute Mad2,11858,73697.94904
yPET / Acute Mad2,317565,1973679.304
yPET / Acute Mad2,121395,754474.8291
yPET / Acute Mad2,186128,1156793.039
yPET / Acute Mad2,9308,57849.59602
yPET / Acute Mad2,336877,2093704.164
yPET / Acute Mad2,58206,361752.6414
yPET / Acute Mad2,1625948,10105332.5
yPET / Acute Mad2,757838,4709993.785
yPET / Acute Mad2,1304134,8105245.494
yPET / Acute Mad2,302270,1878620.261
yPET / Acute Mad2,307330,1910068.365
yPET / Acute Mad2,146037,907625.8546
yPET / Acute Mad2,672789,4181410.814
yPET / Acute Mad2,1306181,8117967.682
yPET / Acute Mad2,229001,1423250.466
yPET / Acute Mad2,884718,5498558.111
yPET / Acute Mad2,222551,1383163.456
yPET / Acute Mad2,87367,542989.4344
yPET / Acute Mad2,95246,591957.7377
yPET / Acute Mad2,229542,1426612.803
yPET / Acute Mad2,11162,69372.28092
yPET / Acute Mad2,193042,1199763.828
yPET / Acute Mad2,7223,44891.23679
yPET / Acute Mad2,256887,1596563.083
yPET / Acute Mad2,171953,1068694.842
yPET / Acute Mad2,118228,734791.7961
yPET / Acute Mad2,171567,1066295.836
yPET / Acute Mad2,669815,4162927.284
yPET / Acute Mad2,591872,3678508.39
yPET / Acute Mad2,246188,1530068.365
yPET / Acute Mad2,42023,261174.6426
yPET / Acute Mad2,352095,2188284.649
yPET / Acute Mad2,51370,319266.6252
yPET / Acute Mad2,491759,3056302.051
yPET / Acute Mad2,387552,2408651.336
yPET / Acute Mad2,16377,101783.7166
yPET / Acute Mad2,40941,254449.9689
yPET / Acute Mad2,149474,928986.9484
yPET / Acute Mad2,499599,3105027.968
yPET / Acute Mad2,177631,1103983.841
yPET / Acute Mad2,89800,558110.6277
yPET / Acute Mad2,197484,1227371.038
yPET / Acute Mad2,603498,3750764.45
yPET / Acute Mad2,121240,753511.4978
yPET / Acute Mad2,164847,1024530.764
yPET / Acute Mad2,875834,5443343.692
yPET / Acute Mad2,1302628,8095885.643
yPET / Acute Mad2,426137,2648458.67
yPET / Acute Mad2,136922,850975.7613
yPET / Acute Mad2,491334,3053660.659
yPET / Acute Mad2,80762,501939.0926
yPET / Acute Mad2,517714,3217613.424
yPET / Acute Mad2,219229,1362517.091
yPET / Acute Mad2,220426,1369956.495
yPET / Acute Mad2,680127,4227016.781
yPET / Acute Mad2,515281,3202492.231
yPET / Acute Mad2,139046,864176.5071
yPET / Acute Mad2,407288,2531311.374
yPET / Acute Mad2,320810,1993847.11
yPET / Acute Mad2,11664,72492.2312
yPET / Acute Mad2,116,720.9446861
yPET / Acute Mad2,120584,749434.4313
yPET / Acute Mad2,61875,384555.6246
yPET / Acute Mad2,467271,2904108.142
yPET / Acute Mad2,155345,965475.4506
yPET / Acute Mad2,2302483,14310024.86
yPET / Acute Mad2,28891,179558.7321
yPET / Acute Mad2,782944,4866028.589
yPET / Acute Mad2,547416,3402212.554
yPET / Acute Mad2,33796,210043.5053
yPET / Acute Mad2,17265,107302.6725
yPET / Acute Mad2,7725,48011.18707
yPET / Acute Mad2,418991,2604045.991
yPET / Acute Mad2,37311,231889.3723
yPET / Acute Mad2,36113,224443.7539
yPET / Acute Mad2,319574,1986165.32
yPET / Acute Mad2,418721,2602367.93
yPET / Acute Mad2,700019,4350646.364
yPET / Acute Mad2,72497,450571.7837
yPET / Acute Mad2,36538,227085.1461
yPET / Acute Mad2,217182,1349794.904
yPET / Acute Mad2,78831,489937.8496
yPET / Acute Mad2,18346,114021.1311
yPET / Acute Mad2,226374,1406923.555
yPET / Acute Mad2,1538311,9560665.009
yPET / Acute Mad2,31324,194679.9254
yPET / Acute Mad2,522967,3250261.032
yPET / Acute Mad2,419069,2604530.764
yPET / Acute Mad2,22827,141870.7272
yPET / Acute Mad2,54151,336550.6526
yPET / Acute Mad2,1120,6960.845245
yPET / Acute Mad2,103937,645972.6538
yPET / Acute Mad2,57241,355755.1274
yPET / Acute Mad2,11201,69614.6675
yPET / Acute Mad2,542163,3369564.947
yPET / Acute Mad2,15179,94338.0982
yPET / Acute Mad2,32599,202604.1019
yPET / Acute Mad2,69407,431367.3089
yPET / Acute Mad2,2003110,12449409.57
yPET / Acute Mad2,156002,969558.7321
yPET / Acute Mad2,12862,79937.8496
yPET / Acute Mad2,788622,4901317.589
yPET / Acute Mad2,141054,876656.3083
yPET / Acute Mad2,149397,928508.3903
yPET / Acute Mad2,14638,90975.76134
yPET / Acute Mad2,502,3119.95028
yPET / Acute Mad2,10042,62411.43567
yPET / Acute Mad2,57279,355991.2989
yPET / Acute Mad2,17921,111379.739
yPET / Acute Mad2,163340,1015164.699
yPET / Acute Mad2,4828,30006.21504
yPET / Acute Mad2,36345,225885.6433
yPET / Acute Mad2,530460,3296830.329
yPET / Acute Mad2,86517,537706.6501
yPET / Acute Mad2,1506060,9360223.741
yPET / Acute Mad2,289254,1797725.295
yPET / Acute Mad2,497861,3094226.227
yPET / Acute Mad2,135338,841131.1374
yPET / Acute Mad2,3065227,19050509.63
yPET / Acute Mad2,2897,18004.97203
yPET / Acute Mad2,194587,1209366.066
yPET / Acute Mad2,465919,2895705.407
yPET / Acute Mad2,490175,3046457.427
yPET / Acute Mad2,259475,1612647.607
yPET / Acute Mad2,51524,320223.7415
yPET / Acute Mad2,3090,19204.47483
yPET / Acute Mad2,11162,69372.28092
yPET / Acute Mad2,1146819,7127526.414
yPET / Acute Mad2,48473,301261.6532
yPET / Acute Mad2,27153,168756.9919
yPET / Acute Mad2,1811729,11259968.92
yPET / Acute Mad2,273766,1701466.75
