Construct,Ratio
pOncobow3,2.00159377
pOncobow3,1.422041304
pOncobow3,0.984811788
pOncobow3,1.531180899
pOncobow3,2.246605167
pOncobow3,2.027419909
pOncobow3,2.005982411
pOncobow3,4.506416789
pOncobow3,0.697404368
pOncobow3,2.323021196
pOncobow3,0.873548193
pOncobow3,3.482451404
pOncobow3,1.307283979
pOncobow3,3.02683878
pOncobow3,2.384151548
pOncobow3,1.467462101
pOncobow2,2.033786964
pOncobow2,2.555300269
pOncobow2,0.953558367
pOncobow2,1.091344374
pOncobow2,0.56965125
pOncobow2,0.925396411
pOncobow2,0.925772904
pOncobow2,1.30346342
pOncobow2,0.510950949
pOncobow2,1.156606151
pOncobow2,4.981212212
pOncobow2,0.557861682
pOncobow2,0.822399785
pOncobow2,0.774992039
pOncobow2,0.745728408
pOncobow2,1.199342745
pOncobow2,0.87784229
pOncobow2,0.783021153
pOncobow2,0.733976155
pOncobow2,1.133008429
pOncobow2,1.194686752
pOncobow2,1.611305945
pOncobow2,0.873978975
pOncobow2,1.597289737
pOncobow2,0.774817621
pOncobow2,0.887101064
pOncobow2,1.193366341
pOncobow2,4.784710366
pOncobow2,2.066582051
pOncobow2,1.579776587
pOncobow2,1.371630728
pOncobow2,0.704364579
pOncobow2,1.706023063
pOncobow2,1.570499397
pOncobow2,2.185106949
pOncobow2,0.832158486
pOncobow2,0.713693483
pOncobow2,0.879446416
pOncobow2,0.786631707
pOncobow3,0.644011273
pOncobow3,1.498450871
pOncobow3,1.890848336
pOncobow3,1.843346114
pOncobow3,1.769886807
pOncobow3,2.070128247
pOncobow3,1.269889784
pOncobow3,3.122932826
pOncobow3,1.791394337
pOncobow3,1.002253017
pOncobow3,1.188142369
pOncobow3,2.155587152
pOncobow3,0.956311837
pOncobow3,1.825782465
pOncobow3,1.23158177
pOncobow3,2.262212693
pOncobow3,2.315547283
pOncobow3,1.253816276
pOncobow3,1.737673553
pOncobow3,0.719979751
pOncobow3,1.342395391
pOncobow3,3.370122217
pOncobow3,1.448163373
pOncobow3,1.050882714
pOncobow3,2.085309535
pOncobow3,2.538068974
pOncobow3,2.298849712
pOncobow3,1.639731615
pOncobow3,1.81752343
pOncobow3,7.342969178
pOncobow3,1.827931676
pOncobow3,2.097744986
pOncobow3,7.664684726
pOncobow3,3.237021696
pOncobow3,1.810831925
